Period,Age,Susceptible Number,Infectious Presymptomatic Number,Recovered Number,scenario
46,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
46,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
46,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
46,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
47,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
47,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
47,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
47,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
48,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
48,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
48,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
48,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
49,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
49,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
49,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
49,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
50,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
50,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
50,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
50,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
51,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
51,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
51,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
51,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
52,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
52,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
52,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
52,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
53,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
53,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
53,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
53,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
54,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
54,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
54,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
54,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
55,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
55,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
55,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
55,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
56,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
56,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
56,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
56,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
57,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
57,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
57,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
57,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
58,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
58,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
58,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
58,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
59,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
59,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
59,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
59,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
60,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
60,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
60,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
60,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
61,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
61,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
61,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
61,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
62,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
62,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
62,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
62,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
63,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
63,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
63,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
63,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
64,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
64,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
64,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
64,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
65,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
65,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
65,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
65,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
66,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
66,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
66,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
66,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
67,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
67,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
67,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
67,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
68,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
68,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
68,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
68,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
69,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
69,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
69,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
69,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
70,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
70,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
70,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
70,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
71,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
71,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
71,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
71,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
72,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
72,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
72,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
72,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
73,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
73,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
73,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
73,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
